trip_id,arrival_time,departure_time,stop_id,stop_sequence
Shuttle6_0_37,12:08:00,12:08:00,AeonMallGuchi0,4
Shuttle6_0_37,12:14:00,12:14:00,ShinTakaokaEki3,5
Shuttle6_0_38,12:16:00,12:16:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_38,12:17:00,12:17:00,Ekinan0,1
Shuttle6_0_38,12:17:00,12:17:00,ZuiryujiGuchi0,2
Shuttle6_0_38,12:20:00,12:20:00,Kyoden0,3
Shuttle6_0_38,12:20:00,12:20:00,AeonMallGuchi0,4
Shuttle6_0_38,12:24:00,12:24:00,ShinTakaokaEki3,5
Shuttle6_0_39,12:21:00,12:21:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_39,12:22:00,12:22:00,Ekinan0,1
Shuttle6_0_39,12:22:00,12:22:00,ZuiryujiGuchi0,2
Shuttle6_0_39,12:24:00,12:24:00,Kyoden0,3
Shuttle6_0_39,12:26:00,12:26:00,AeonMallGuchi0,4
Shuttle6_0_39,12:29:00,12:29:00,ShinTakaokaEki3,5
Shuttle6_0_40,12:26:00,12:26:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_40,12:27:00,12:27:00,Ekinan0,1
Shuttle6_0_40,12:27:00,12:27:00,ZuiryujiGuchi0,2
Shuttle6_0_40,12:30:00,12:30:00,Kyoden0,3
Shuttle6_0_40,12:30:00,12:30:00,AeonMallGuchi0,4
Shuttle6_0_40,12:34:00,12:34:00,ShinTakaokaEki3,5
Shuttle6_0_41,12:36:00,12:36:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_41,12:37:00,12:37:00,Ekinan0,1
Shuttle6_0_41,12:37:00,12:37:00,ZuiryujiGuchi0,2
Shuttle6_0_41,12:40:00,12:40:00,Kyoden0,3
Shuttle6_0_41,12:40:00,12:40:00,AeonMallGuchi0,4
Shuttle6_0_41,12:44:00,12:44:00,ShinTakaokaEki3,5
Shuttle6_0_42,12:46:00,12:46:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_42,12:47:00,12:47:00,Ekinan0,1
Shuttle6_0_42,12:47:00,12:47:00,ZuiryujiGuchi0,2
Shuttle6_0_42,12:50:00,12:50:00,Kyoden0,3
Shuttle6_0_42,12:50:00,12:50:00,AeonMallGuchi0,4
Shuttle6_0_42,12:54:00,12:54:00,ShinTakaokaEki3,5
Shuttle6_0_43,12:56:00,12:56:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_43,12:57:00,12:57:00,Ekinan0,1
Shuttle6_0_43,12:57:00,12:57:00,ZuiryujiGuchi0,2
Shuttle6_0_43,12:59:00,12:59:00,Kyoden0,3
Shuttle6_0_43,13:01:00,13:01:00,AeonMallGuchi0,4
Shuttle6_0_43,13:04:00,13:04:00,ShinTakaokaEki3,5
Shuttle6_0_44,12:56:00,12:56:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_44,12:57:00,12:57:00,Ekinan0,1
Shuttle6_0_44,12:57:00,12:57:00,ZuiryujiGuchi0,2
Shuttle6_0_44,13:00:00,13:00:00,Kyoden0,3
Shuttle6_0_44,13:00:00,13:00:00,AeonMallGuchi0,4
Shuttle6_0_44,13:04:00,13:04:00,ShinTakaokaEki3,5
Shuttle6_0_45,13:06:00,13:06:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_45,13:07:00,13:07:00,Ekinan0,1
Shuttle6_0_45,13:07:00,13:07:00,ZuiryujiGuchi0,2
Shuttle6_0_45,13:10:00,13:10:00,Kyoden0,3
Shuttle6_0_45,13:10:00,13:10:00,AeonMallGuchi0,4
Shuttle6_0_45,13:14:00,13:14:00,ShinTakaokaEki3,5
Shuttle6_0_46,13:16:00,13:16:00,TakaokaEkiMinamiGuchi1,0
Shuttle6_0_46,13:17:00,13:17:00,Ekinan0,1
Shuttle6_0_46,13:17:00,13:17:00,ZuiryujiGuchi0,2
Shuttle6_0_46,13:20:00,13:20:00,Kyoden0,3
Shuttle6_0_46,13:20:00,13:20:00,AeonMallGuchi0,4
Shuttle6_0_46,13:24:00,13:24:00,ShinTakaokaEki3,5
Shuttle6_0_47,13:26:00,13:26:00,TakaokaEkiMinamiGuchi1,0
