route_id,service_id,trip_id,trip_headsign
Shuttle6,Weekday,Shuttle6_1_73,高岡駅前
Shuttle6,Weekday,Shuttle6_1_74,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_75,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_76,海王丸パーク
Shuttle6,Weekday,Shuttle6_1_77,高岡駅前
Shuttle6,Weekday,Shuttle6_1_78,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_79,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_80,石動駅前
Shuttle6,Weekday,Shuttle6_1_81,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_82,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_83,高岡駅前
Shuttle6,Weekday,Shuttle6_1_84,高岡駅前
Shuttle6,Weekday,Shuttle6_1_85,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_86,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_87,海王丸パーク
Shuttle6,Weekday,Shuttle6_1_88,高岡駅前
Shuttle6,Weekday,Shuttle6_1_89,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_90,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_91,国吉
Shuttle6,Weekday,Shuttle6_1_92,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_93,高岡駅前
Shuttle6,Weekday,Shuttle6_1_94,国吉
Shuttle6,Weekday,Shuttle6_1_95,西回り伏木循環
Shuttle6,Weekday,Shuttle6_1_96,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_97,高岡駅前
Shuttle6,Weekday,Shuttle6_1_98,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_99,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_100,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_101,西回り伏木循環矢田
Shuttle6,Weekday,Shuttle6_1_102,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_103,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_104,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_105,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_106,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_107,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_108,高岡駅南口
